user_id,device_type,location_match,app_login_duration,app_usage_today,payment_amount,transaction_hour,past_fraud_flag,network_type,os_version,battery_level,eligible_for_super_otp
a9a9f97e-2301-4344-acb5-26893de6c42d,Desktop,1,28.38,25.08,13917.17,6,0,WiFi,Android 12,18,0
3938a256-e783-4005-82bf-3379e81f52cf,Desktop,0,8.95,64.45,10482.6,20,0,None,Android 13,29,0
f857596a-79be-4bc0-8b82-3be3e04f1ed2,Mobile,0,26.97,32.11,10083.07,20,0,None,Android 13,9,0
030adfc0-1751-4307-b7f4-661f44b91b11,Mobile,1,10.54,68.99,6518.12,20,0,None,iOS 15,87,0
83fb67e5-bf49-44b5-aeb3-f46503a9b5f4,Mobile,1,1.3,55.14,16005.56,11,0,4G,iOS 15,39,0
54aefc2c-55a5-4743-aba2-ba0b9ad4f977,Mobile,1,7.23,67.19,8748.55,8,0,None,iOS 15,19,0
75536a3e-1962-4c90-8214-6c3107ac1c8c,Mobile,1,10.17,42.0,18793.75,7,0,WiFi,Android 12,23,0
08a1ec63-3260-480e-b493-afecb5a18972,Desktop,1,13.64,77.16,21168.52,7,0,WiFi,iOS 16,47,0
cc1a9c53-9e78-4076-91bb-6b5b2d5642b5,Mobile,1,7.62,51.0,17652.86,9,1,None,Android 12,41,0
cd299b5f-7bb9-4b9e-b730-7b3541e76423,Desktop,1,17.28,9.31,21058.62,23,0,None,Android 12,19,0
0c7bc9df-e068-4238-8964-e40b56f3db9b,Mobile,0,4.96,148.64,13596.56,2,0,4G,Android 12,64,0
87afe22e-6b9a-4fb7-81d2-25b0e585949a,Mobile,1,2.47,45.07,18361.89,22,0,None,Android 13,78,0
a8133b2a-db18-4896-a367-9d68f5468758,Mobile,1,13.77,22.04,6772.39,6,0,None,iOS 16,66,0
de903a81-046a-4753-880c-99506d84c9ab,Mobile,1,10.0,98.12,21856.7,0,0,WiFi,Android 13,12,0
5613deb2-1567-4688-920a-d37fd4166e2b,Desktop,1,12.17,5.34,12721.72,15,0,WiFi,iOS 16,9,0
8f27c36b-dc23-49b8-bc0e-284ab2a77c20,Mobile,0,2.31,3.37,12612.86,8,0,None,iOS 15,69,0
d7d57371-ee2e-44c9-bd10-467d33b4e445,Mobile,1,6.46,59.52,8406.24,4,0,4G,Android 13,85,0
b267367b-98ea-4ff7-9375-59433394704b,Desktop,1,16.65,101.99,7106.82,17,0,WiFi,iOS 16,17,0
8dc8ad4a-e49b-4301-b62a-709de78d80de,Mobile,1,1.41,86.06,18009.53,11,0,WiFi,Android 12,88,0
7bdd6cef-e532-4d09-97a7-d0e85f5f5ac2,Mobile,1,0.69,60.44,209.36,15,0,4G,iOS 15,59,0
c3a0a117-33d0-4093-a882-77bc5942749f,Desktop,0,0.87,35.89,15692.26,6,0,4G,iOS 16,38,0
e67c0eaf-facf-482f-b2a7-45e1476a085b,Desktop,1,0.32,40.55,13325.64,22,0,4G,Android 12,7,0
4d20d912-0d8a-46da-862a-2d65f7d85fb3,Desktop,1,9.33,93.92,6641.38,17,0,None,iOS 15,61,0
85f5b31e-1fc9-411d-ae7c-f8e586f055df,Mobile,1,2.32,70.56,21000.03,18,0,WiFi,iOS 16,26,0
40c32858-01d1-4db3-8f50-b8e59012efc4,Mobile,1,10.45,75.97,21483.49,3,0,None,iOS 16,88,0
b7986a5c-8196-4191-a048-4f3417f2063f,Mobile,1,5.81,82.15,11957.77,15,0,None,iOS 16,19,0
69076280-e0c6-4126-9f7d-b30c1e7db89e,Desktop,0,6.44,30.67,18470.01,16,0,None,iOS 16,99,0
6c7e0c63-3ab7-4012-a6ad-712f54eb2cec,Desktop,1,0.22,46.82,21079.13,19,0,4G,Android 12,41,0
5a4707ad-f369-4f1e-98fe-1103b49a84a7,Mobile,0,0.25,64.53,14705.11,2,0,4G,iOS 16,23,0
d7e39e7b-fdd7-4d57-9c05-ab87fe5333fb,Desktop,1,4.46,7.06,24099.82,7,0,WiFi,iOS 16,53,0
723497e6-61fb-41d0-a323-ad4ff3b1476e,Mobile,1,8.21,77.15,4589.78,3,0,None,Android 13,25,0
155752a0-78b2-4bee-93cc-785326453d1a,Mobile,1,35.83,15.74,22974.86,22,0,None,Android 13,45,0
